PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"FSM_ION_ProcessCurrencyExchangeRateMaster_Inbound","FSM_ION_ProcessCurrencyExchangeRateMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessCustomerPartyMaster_Inbound","FSM_ION_ProcessCustomerPartyMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessFinancialPartyMaster_Out","FSM_ION_ProcessFinancialPartyMaster_Out","Yes","No","None"
"FSM_ION_ProcessInventoryTrans_Outbound","FSM_ION_ProcessInventoryTrans_Outbound","Yes","No","None"
"FSM_ION_ProcessInvoice_Inbound","FSM_ION_ProcessInvoice_Inbound","Yes","No","None"
"FSM_ION_ProcessItemMaster_Inbound","FSM_ION_ProcessItemMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessPurchaseOrder_Inbound","FSM_ION_ProcessPurchaseOrder_Inbound","Yes","No","None"
"FSM_ION_ProcessPurchaseOrder_Outbound","FSM_ION_ProcessPurchaseOrder_Outbound","Yes","No","None"
"FSM_ION_ProcessReceiveDelivery_Inbound","FSM_ION_ProcessReceiveDelivery_Inbound","Yes","No","None"
"FSM_ION_ProcessRemitAdvice_In","FSM_ION_ProcessRemitAdvice_In","Yes","No","None"
"FSM_ION_ProcessRequisition_In","FSM_ION_ProcessRequisition_In","Yes","No","None"
"FSM_ION_ProcessSalesOrder_Inbound","FSM_ION_ProcessSalesOrder_Inbound","Yes","No","None"
"FSM_ION_ProcessShipToPartyMaster_Inbound","FSM_ION_ProcessShipToPartyMaster_Inbound","Yes","No","None"
"FSM_ION_ProcessShipToPartyMaster_Out","FSM_ION_ProcessShipToPartyMaster_Out","Yes","No","None"
"FSM_ION_ProcessShipment_Inbound","FSM_ION_ProcessShipment_Inbound","Yes","No","None"
"FSM_ION_ProcessShipment_Outbound","FSM_ION_ProcessShipment_Outbound","Yes","No","None"
"FSM_ION_ProcessSourceSystemJournalEntry_Inbound","FSM_ION_ProcessSourceSystemJournalEntry_Inbound","Yes","No","None"
"FSM_ION_ProcessSupplierInvoice_Inbound","FSM_ION_ProcessSupplierInvoice_Inbound","Yes","No","None"
"FSM_ION_ProcessSupplierPartyMaster_Out","FSM_ION_ProcessSupplierPartyMaster_Out","Yes","No","None"
"FSM_ION_ProcessVendorReturn_Out","FSM_ION_ProcessVendorReturn_Out","Yes","No","None"
"FSM_ION_ProcurementCardRejectAlert","FSM_ION_ProcurementCardRejectAlert","Yes","No","None"
"FSM_ION_ProcurementCardRequestAlert","FSM_ION_ProcurementCardRequestAlert","Yes","No","None"
"FSM_ION_ProjectAddAlert","FSM_ION_ProjectAddAlert","Yes","No","None"
"FSM_ION_ProjectContractAmountChangedAlert","FSM_ION_ProjectContractAmountChangedAlert","Yes","No","None"
"FSM_ION_ProjectContractStatusChangedAlert","FSM_ION_ProjectContractStatusChangedAlert","Yes","No","None"
"FSM_ION_ProjectDateChangedAlert","FSM_ION_ProjectDateChangedAlert","Yes","No","None"
"FSM_ION_ProjectDeleteAlert","FSM_ION_ProjectDeleteAlert","Yes","No","None"
"FSM_ION_ProjectFundingAmountChangedAlert","FSM_ION_ProjectFundingAmountChangedAlert","Yes","No","None"
"FSM_ION_ProjectFundingSourceActiveAlert","FSM_ION_ProjectFundingSourceActiveAlert","Yes","No","None"
"FSM_ION_ProjectFundingSourceActiveAndDateRangeAlert","FSM_ION_ProjectFundingSourceActiveAndDateRangeAlert","Yes","No","None"
"FSM_ION_ProjectFundingSourceAmountChangedAlert","FSM_ION_ProjectFundingSourceAmountChangedAlert","Yes","No","None"
"FSM_ION_ProjectFundingSourcePriorityAlert","FSM_ION_ProjectFundingSourcePriorityAlert","Yes","No","None"
"FSM_ION_ProjectPercentchangeAlert","FSM_ION_ProjectPercentchangeAlert","Yes","No","None"
"FSM_ION_ProjectPriority","FSM_ION_ProjectPriority","Yes","No","None"
"FSM_ION_ProjectStatusChangeAlert","FSM_ION_ProjectStatusChangeAlert","Yes","No","None"
"FSM_ION_ProjectStructureAddAlert","FSM_ION_ProjectStructureAddAlert","Yes","No","None"
"FSM_ION_ProjectWatchAlert","FSM_ION_ProjectWatchAlert","Yes","No","None"
"FSM_ION_PurchaseOrderReceiptImportAlert","FSM_ION_PurchaseOrderReceiptImportAlert","Yes","No","None"
"FSM_ION_ReconcilationInvoiceMessageAlert","FSM_ION_ReconcilationInvoiceMessageAlert","Yes","No","None"
"FSM_ION_RequestingLocation_Out","FSM_ION_RequestingLocation_Out","Yes","No","None"
"FSM_ION_RequisitionApprovalWorkflow","FSM_ION_RequisitionApprovalWorkflow","Yes","No","None"
"FSM_ION_RequisitionImportAlert","FSM_ION_RequisitionImportAlert","Yes","No","None"
"FSM_ION_ShipmentBackordVoidAlert","FSM_ION_ShipmentBackordVoidAlert","Yes","No","None"
"FSM_ION_ShipmentReleaseAlert","FSM_ION_ShipmentReleaseAlert","Yes","No","None"
"FSM_ION_ShowChartOfAccounts_Inbound","FSM_ION_ShowChartOfAccounts_Inbound","Yes","No","None"
"FSM_ION_ShowCodeDefinition_Inbound","FSM_ION_ShowCodeDefinition_Inbound","Yes","No","None"
"FSM_ION_ShowItemMaster_Inbound","FSM_ION_ShowItemMaster_Inbound","Yes","No","None"
"FSM_ION_SyncAccountingChart_Inbound","FSM_ION_SyncAccountingChart_Inbound","Yes","No","None"
"FSM_ION_SyncAccountingChart_Out","FSM_ION_SyncAccountingChart_Out","Yes","No","None"
"FSM_ION_SyncAccountingEntity_Inbound","FSM_ION_SyncAccountingEntity_Inbound","Yes","No","None"
"FSM_ION_SyncAccountingEntity_Out","FSM_ION_SyncAccountingEntity_Out","Yes","No","None"
"FSM_ION_SyncAdvanceShipNotice_Inbound","FSM_ION_SyncAdvanceShipNotice_Inbound","Yes","No","None"
"FSM_ION_SyncAssetMaster_Inbound","FSM_ION_SyncAssetMaster_Inbound","Yes","No","None"
"FSM_ION_SyncAssetMaster_Out","FSM_ION_SyncAssetMaster_Out","Yes","No","None"
"FSM_ION_SyncAssetTransaction_Out","FSM_ION_SyncAssetTransaction_Out","Yes","No","None"
"FSM_ION_SyncBROrdrToInv_Inbound","FSM_ION_SyncBROrdrToInv_Inbound","Yes","No","None"
"FSM_ION_SyncBROrdrToReceipt_In","FSM_ION_SyncBROrdrToReceipt_In","Yes","No","None"
"FSM_ION_SyncBillOfMaterials_Out","FSM_ION_SyncBillOfMaterials_Out","Yes","No","None"
"FSM_ION_SyncBillToPartyMaster_Out","FSM_ION_SyncBillToPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncCaptureDocument_Inbound","FSM_ION_SyncCaptureDocument_Inbound","Yes","No","None"
"FSM_ION_SyncCashReceipt_Out","FSM_ION_SyncCashReceipt_Out","Yes","No","None"
"FSM_ION_SyncChartOfAccounts_Inbound","FSM_ION_SyncChartOfAccounts_Inbound","Yes","No","None"
"FSM_ION_SyncChartOfAccounts_Out","FSM_ION_SyncChartOfAccounts_Out","Yes","No","None"
"FSM_ION_SyncCodeDefinition_Inbound","FSM_ION_SyncCodeDefinition_Inbound","Yes","No","None"
"FSM_ION_SyncCodeDefinition_Out","FSM_ION_SyncCodeDefinition_Out","Yes","No","None"
"FSM_ION_SyncContactMaster_Outbound","FSM_ION_SyncContactMaster_Outbound","Yes","No","None"
"FSM_ION_SyncContract_Outbound","FSM_ION_SyncContract_Outbound","Yes","No","None"
"FSM_ION_SyncCreditTransfer_Out","FSM_ION_SyncCreditTransfer_Out","Yes","No","None"
"FSM_ION_SyncCurrencyExchangeRateMaster_Inbound","FSM_ION_SyncCurrencyExchangeRateMaster_Inbound","Yes","No","None"
"FSM_ION_SyncCurrencyExchangeRateMaster_Out","FSM_ION_SyncCurrencyExchangeRateMaster_Out","Yes","No","None"
"FSM_ION_SyncCustPrtyMstr_Outbound","FSM_ION_SyncCustPrtyMstr_Outbound","Yes","No","None"
"FSM_ION_SyncCustRemitAdvice_Out","FSM_ION_SyncCustRemitAdvice_Out","Yes","No","None"
"FSM_ION_SyncCustomerReturn_Out","FSM_ION_SyncCustomerReturn_Out","Yes","No","None"
"FSM_ION_SyncDebitTransfer_Out","FSM_ION_SyncDebitTransfer_Out","Yes","No","None"
"FSM_ION_SyncErrorAPInvoiceCSV_Outbound","FSM_ION_SyncErrorAPInvoiceCSV_Outbound","Yes","No","None"
"FSM_ION_SyncErrorARInvoiceCSV_Outbound","FSM_ION_SyncErrorARInvoiceCSV_Outbound","Yes","No","None"
"FSM_ION_SyncExpenseReport_Inbound","FSM_ION_SyncExpenseReport_Inbound","Yes","No","None"
"FSM_ION_SyncExpenseReport_Out","FSM_ION_SyncExpenseReport_Out","Yes","No","None"
"FSM_ION_SyncFinancialCalendar_Out","FSM_ION_SyncFinancialCalendar_Out","Yes","No","None"
"FSM_ION_SyncFinancialPartyMaster_Out","FSM_ION_SyncFinancialPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncInspectDelivery_Out","FSM_ION_SyncInspectDelivery_Out","Yes","No","None"
"FSM_ION_SyncInvCount_Outbound","FSM_ION_SyncInvCount_Outbound","Yes","No","None"
"FSM_ION_SyncInventoryAdj_Outbound","FSM_ION_SyncInventoryAdj_Outbound","Yes","No","None"
"FSM_ION_SyncInventoryAdjustment_Inbound","FSM_ION_SyncInventoryAdjustment_Inbound","Yes","No","None"
"FSM_ION_SyncInventoryCount_Inbound","FSM_ION_SyncInventoryCount_Inbound","Yes","No","None"
"FSM_ION_SyncInventoryHold_Inbound","FSM_ION_SyncInventoryHold_Inbound","Yes","No","None"
"FSM_ION_SyncInvoice_Inbound","FSM_ION_SyncInvoice_Inbound","Yes","No","None"
"FSM_ION_SyncInvoice_Outbound","FSM_ION_SyncInvoice_Outbound","Yes","No","None"
"FSM_ION_SyncItemMaster_Inbound","FSM_ION_SyncItemMaster_Inbound","Yes","No","None"
"FSM_ION_SyncItemMaster_Outbound","FSM_ION_SyncItemMaster_Outbound","Yes","No","None"
"FSM_ION_SyncLCLTaxReport_Outbound","FSM_ION_SyncLCLTaxReport_Outbound","Yes","No","None"
"FSM_ION_SyncLCLTradeStatisticsEUSales_Outbound","FSM_ION_SyncLCLTradeStatisticsEUSales_Outbound","Yes","No","None"
"FSM_ION_SyncLCLTradeStatisticsIntrastat_Outbound","FSM_ION_SyncLCLTradeStatisticsIntrastat_Outbound","Yes","No","None"
"FSM_ION_SyncLocation_Outbound","FSM_ION_SyncLocation_Outbound","Yes","No","None"
"FSM_ION_SyncMaintenanceOrder_Inbound","FSM_ION_SyncMaintenanceOrder_Inbound","Yes","No","None"
"FSM_ION_SyncPayFromPartyMaster_Out","FSM_ION_SyncPayFromPartyMaster_Out","Yes","No","None"
"FSM_ION_SyncPayableTracker_Out","FSM_ION_SyncPayableTracker_Out","Yes","No","None"
"FSM_ION_SyncPayableTransaction_Outbound","FSM_ION_SyncPayableTransaction_Outbound","Yes","No","None"
"FSM_ION_SyncPerson_Out","FSM_ION_SyncPerson_Out","Yes","No","None"
"FSM_ION_SyncPersonnel_Inbound","FSM_ION_SyncPersonnel_Inbound","Yes","No","None"
"FSM_ION_SyncProductionOrder_Out","FSM_ION_SyncProductionOrder_Out","Yes","No","None"
"FSM_ION_SyncProjectContract_Out","FSM_ION_SyncProjectContract_Out","Yes","No","None"
"FSM_ION_SyncProjectMaster_Inbound","FSM_ION_SyncProjectMaster_Inbound","Yes","No","None"
"FSM_ION_SyncProjectMaster_Out","FSM_ION_SyncProjectMaster_Out","Yes","No","None"
"FSM_ION_SyncPurchaseOrder_Outbound","FSM_ION_SyncPurchaseOrder_Outbound","Yes","No","None"
"FSM_ION_SyncReceivableTracker_Outbound","FSM_ION_SyncReceivableTracker_Outbound","Yes","No","None"
"FSM_ION_SyncReceivableTransaction_Outbound","FSM_ION_SyncReceivableTransaction_Outbound","Yes","No","None"
"FSM_ION_SyncReceiveDelivery_Inbound","FSM_ION_SyncReceiveDelivery_Inbound","Yes","No","None"
